customer_id,customer_name,centre_id,centre_name,booking_date,arrival_time,hour_of_day,day_of_week,peak_hour,token_number,tokens_ahead,queue_length,active_counters,crop,quantity_kg,quality_grade,staff_experience_years,estimated_time_min,actual_wait_time_min,processing_time_min,service_start_time,service_end_time,total_time_at_centre_min
FARM101293,Farmer_1293,PC004,Tumakuru Main,2026-02-04,08:14:00,8,2,0,22,19,22,2,Tur Dal,207.1,A,4,126.7,120.9,12.2,10:14:54,10:27:06,133.1
FARM101119,Farmer_1119,PC001,Mysuru Central,2026-02-23,09:36:00,9,0,0,5,3,6,4,Maize,210.1,B,5,12.0,12.7,11.9,09:48:42,10:00:36,24.6
FARM100585,Farmer_0585,PC005,Bengaluru Rural,2026-01-30,16:02:00,16,4,0,14,12,14,5,Cotton,222.3,C,7,31.6,32.6,14.2,16:34:36,16:48:48,46.8
FARM100375,Farmer_0375,PC005,Bengaluru Rural,2026-01-25,16:33:00,16,6,0,19,14,15,4,Rice,206.5,C,3,42.1,46.1,13.6,17:19:06,17:32:42,59.7
FARM100276,Farmer_0276,PC003,Hassan Market,2026-04-02,10:48:00,10,3,1,24,22,24,5,Wheat,305.9,C,1,62.7,69.3,14.8,11:57:18,12:12:06,84.1
FARM100747,Farmer_0747,PC002,Mandya North,2026-01-01,16:38:00,16,3,0,23,21,23,1,Rice,288.7,B,8,173.5,180.0,9.8,19:38:00,19:47:48,189.8
FARM100129,Farmer_0129,PC004,Tumakuru Main,2026-03-18,13:03:00,13,2,1,30,27,34,4,Rice,246.3,B,3,84.6,82.3,10.8,14:25:18,14:36:06,93.1
FARM101647,Farmer_1647,PC001,Mysuru Central,2026-02-26,16:59:00,16,3,0,14,10,11,3,Cotton,362.0,C,9,56.4,51.3,16.0,17:50:18,18:06:18,67.3
FARM101853,Farmer_1853,PC004,Tumakuru Main,2026-01-16,11:05:00,11,4,1,43,38,44,3,Groundnut,224.2,B,7,175.0,164.6,11.5,13:49:36,14:01:06,176.1
FARM100675,Farmer_0675,PC001,Mysuru Central,2026-02-15,08:16:00,8,6,0,47,44,47,2,Sugarcane,110.1,C,7,163.1,180.0,16.9,11:16:00,11:32:54,196.9
FARM101665,Farmer_1665,PC004,Tumakuru Main,2026-01-10,10:44:00,10,5,1,35,34,37,3,Cotton,268.0,A,9,158.6,151.0,12.2,13:15:00,13:27:12,163.2
FARM101982,Farmer_1982,PC002,Mandya North,2026-04-19,14:14:00,14,6,0,4,2,7,3,Rice,232.8,C,3,7.3,7.2,11.6,14:21:12,14:32:48,18.8
FARM101084,Farmer_1084,PC003,Hassan Market,2026-03-06,16:14:00,16,4,0,15,13,17,3,Cotton,211.2,A,7,56.5,53.7,13.2,17:07:42,17:20:54,66.9
FARM101923,Farmer_1923,PC002,Mandya North,2026-03-16,11:15:00,11,0,1,42,37,44,1,Wheat,270.9,A,10,171.3,180.0,8.3,14:15:00,14:23:18,188.3
FARM100100,Farmer_0100,PC005,Bengaluru Rural,2026-01-27,16:16:00,16,1,0,7,6,10,5,Tur Dal,404.7,A,2,15.6,14.8,14.0,16:30:48,16:44:48,28.8
FARM101180,Farmer_1180,PC002,Mandya North,2026-04-21,13:45:00,13,1,1,38,35,37,3,Rice,354.0,B,8,159.4,146.1,11.1,16:11:06,16:22:12,157.2
FARM100965,Farmer_0965,PC005,Bengaluru Rural,2026-04-19,09:52:00,9,6,0,28,24,30,4,Maize,377.7,A,2,78.6,73.0,13.2,11:05:00,11:18:12,86.2
FARM100793,Farmer_0793,PC002,Mandya North,2026-02-17,16:36:00,16,1,0,20,19,26,1,Tur Dal,394.2,A,3,179.6,180.0,11.4,19:36:00,19:47:24,191.4
FARM100030,Farmer_0030,PC001,Mysuru Central,2026-03-11,08:31:00,8,2,0,44,43,45,3,Wheat,151.1,A,9,132.6,130.3,9.3,10:41:18,10:50:36,139.6
FARM100629,Farmer_0629,PC002,Mandya North,2026-03-17,11:54:00,11,1,1,32,31,34,2,Maize,219.9,C,4,184.0,180.0,14.7,14:54:00,15:08:42,194.7
FARM100945,Farmer_0945,PC004,Tumakuru Main,2026-02-05,13:10:00,13,3,1,19,17,24,3,Cotton,252.5,C,9,86.4,93.4,14.6,14:43:24,14:58:00,108.0
FARM100573,Farmer_0573,PC002,Mandya North,2026-02-02,10:00:00,10,0,1,4,0,5,2,Cotton,309.2,A,10,5.6,5.2,14.2,10:05:12,10:19:24,19.4
FARM100908,Farmer_0908,PC005,Bengaluru Rural,2026-01-28,14:48:00,14,2,0,32,30,35,5,Groundnut,499.9,C,1,81.2,88.5,16.8,16:16:30,16:33:18,105.3
FARM101081,Farmer_1081,PC005,Bengaluru Rural,2026-03-30,11:04:00,11,0,1,8,7,14,5,Ragi,193.4,C,4,17.7,18.8,11.0,11:22:48,11:33:48,29.8
FARM100451,Farmer_0451,PC004,Tumakuru Main,2026-01-09,16:27:00,16,4,0,42,39,40,3,Wheat,313.5,C,4,127.5,138.5,10.2,18:45:30,18:55:42,148.7
FARM101610,Farmer_1610,PC004,Tumakuru Main,2026-01-14,15:40:00,15,2,0,40,36,39,3,Groundnut,176.9,A,6,132.1,129.3,10.1,17:49:18,17:59:24,139.4
FARM101291,Farmer_1291,PC001,Mysuru Central,2026-03-04,15:03:00,15,2,0,39,34,36,3,Rice,310.7,A,2,132.8,133.2,11.9,17:16:12,17:28:06,145.1
FARM101079,Farmer_1079,PC002,Mandya North,2026-03-10,14:57:00,14,1,0,17,16,21,2,Ragi,326.4,C,9,126.3,117.4,13.4,16:54:24,17:07:48,130.8
FARM100255,Farmer_0255,PC004,Tumakuru Main,2026-01-11,16:14:00,16,6,0,35,30,34,2,Wheat,134.6,C,2,159.4,146.0,9.1,18:40:00,18:49:06,155.1
FARM100125,Farmer_0125,PC004,Tumakuru Main,2026-04-23,15:58:00,15,3,0,2,1,6,3,Cotton,257.6,A,10,5.6,6.0,11.5,16:04:00,16:15:30,17.5
FARM101928,Farmer_1928,PC004,Tumakuru Main,2026-01-07,12:27:00,12,2,1,15,10,11,4,Groundnut,393.8,C,3,41.5,40.5,12.9,13:07:30,13:20:24,53.4
FARM100252,Farmer_0252,PC005,Bengaluru Rural,2026-02-21,16:28:00,16,5,0,20,17,21,5,Sugarcane,400.6,B,1,61.6,59.5,19.5,17:27:30,17:47:00,79.0
FARM100586,Farmer_0586,PC002,Mandya North,2026-01-11,13:53:00,13,6,1,23,21,24,3,Tur Dal,264.0,B,4,98.8,101.1,13.1,15:34:06,15:47:12,114.2
FARM101569,Farmer_1569,PC001,Mysuru Central,2026-03-30,12:59:00,12,0,1,34,29,32,3,Maize,291.7,A,6,113.5,104.5,9.9,14:43:30,14:53:24,114.4
FARM100825,Farmer_0825,PC003,Hassan Market,2026-04-13,10:14:00,10,0,1,16,11,14,4,Wheat,518.7,A,9,41.5,39.9,12.6,10:53:54,11:06:30,52.5
FARM100508,Farmer_0508,PC005,Bengaluru Rural,2026-01-15,09:12:00,9,3,0,11,8,10,5,Sugarcane,243.0,B,2,28.5,27.3,17.0,09:39:18,09:56:18,44.3
FARM100890,Farmer_0890,PC005,Bengaluru Rural,2026-03-05,09:11:00,9,3,0,16,14,19,4,Groundnut,188.7,C,4,43.6,39.7,12.4,09:50:42,10:03:06,52.1
FARM100071,Farmer_0071,PC003,Hassan Market,2026-04-30,13:35:00,13,3,1,20,17,18,3,Cotton,284.9,C,5,75.3,72.9,14.0,14:47:54,15:01:54,86.9
FARM101609,Farmer_1609,PC002,Mandya North,2026-01-02,14:35:00,14,4,0,33,31,32,2,Rice,244.7,A,9,129.3,142.6,8.4,16:57:36,17:06:00,151.0
FARM101533,Farmer_1533,PC001,Mysuru Central,2026-03-18,12:55:00,12,2,1,28,25,28,3,Cotton,312.0,B,3,109.2,112.2,12.8,14:47:12,15:00:00,125.0
FARM100248,Farmer_0248,PC002,Mandya North,2026-02-02,16:27:00,16,0,0,35,30,31,3,Ragi,354.3,C,5,137.5,140.0,13.0,18:47:00,19:00:00,153.0
FARM101451,Farmer_1451,PC001,Mysuru Central,2026-01-04,14:44:00,14,6,0,14,11,13,3,Ragi,356.4,B,1,45.3,45.9,14.0,15:29:54,15:43:54,59.9
FARM100213,Farmer_0213,PC002,Mandya North,2026-03-20,13:43:00,13,4,1,9,8,11,2,Maize,184.7,C,8,57.3,56.3,12.2,14:39:18,14:51:30,68.5
FARM100910,Farmer_0910,PC003,Hassan Market,2026-02-04,16:37:00,16,2,0,38,34,38,3,Rice,394.9,A,9,111.3,107.1,9.9,18:24:06,18:34:00,117.0
FARM101742,Farmer_1742,PC005,Bengaluru Rural,2026-02-17,08:02:00,8,1,0,22,19,24,4,Groundnut,281.6,B,8,59.7,54.6,13.2,08:56:36,09:09:48,67.8
FARM101245,Farmer_1245,PC002,Mandya North,2026-04-16,15:18:00,15,3,0,39,37,44,2,Sugarcane,422.6,B,1,192.9,180.0,18.7,18:18:00,18:36:42,198.7
FARM101697,Farmer_1697,PC004,Tumakuru Main,2026-03-24,10:15:00,10,1,1,20,19,26,3,Rice,250.4,A,4,64.9,66.1,9.3,11:21:06,11:30:24,75.4
FARM101183,Farmer_1183,PC001,Mysuru Central,2026-01-22,09:08:00,9,3,0,6,5,12,2,Maize,92.5,C,10,29.9,28.8,10.6,09:36:48,09:47:24,39.4
FARM100362,Farmer_0362,PC004,Tumakuru Main,2026-01-31,10:42:00,10,5,1,41,36,41,2,Cotton,401.8,B,10,179.4,180.0,14.9,13:42:00,13:56:54,194.9
FARM101474,Farmer_1474,PC004,Tumakuru Main,2026-03-16,12:14:00,12,0,1,14,9,13,3,Groundnut,175.0,C,5,62.3,57.9,14.7,13:11:54,13:26:36,72.6
FARM100679,Farmer_0679,PC004,Tumakuru Main,2026-01-13,08:16:00,8,1,0,9,5,6,3,Tur Dal,193.2,A,1,22.4,21.2,10.3,08:37:12,08:47:30,31.5
FARM101622,Farmer_1622,PC003,Hassan Market,2026-01-29,10:55:00,10,3,1,29,25,32,4,Cotton,215.5,C,2,75.7,80.9,14.7,12:15:54,12:30:36,95.6
FARM101090,Farmer_1090,PC005,Bengaluru Rural,2026-01-01,09:55:00,9,3,0,38,34,39,5,Sugarcane,259.6,A,4,95.4,102.4,17.1,11:37:24,11:54:30,119.5
FARM101988,Farmer_1988,PC005,Bengaluru Rural,2026-01-30,11:36:00,11,4,1,34,31,33,5,Tur Dal,332.0,A,1,74.3,72.8,11.4,12:48:48,13:00:12,84.2
FARM101848,Farmer_1848,PC004,Tumakuru Main,2026-02-26,09:21:00,9,3,0,22,17,21,3,Wheat,402.3,C,4,81.7,81.6,13.1,10:42:36,10:55:42,94.7
FARM100988,Farmer_0988,PC004,Tumakuru Main,2026-04-07,08:21:00,8,1,0,32,31,37,3,Groundnut,253.2,A,1,146.9,146.5,13.2,10:47:30,11:00:42,159.7
FARM101513,Farmer_1513,PC005,Bengaluru Rural,2026-04-09,11:12:00,11,3,1,21,19,26,5,Sugarcane,475.7,B,8,61.8,61.8,17.5,12:13:48,12:31:18,79.3
FARM100112,Farmer_0112,PC002,Mandya North,2026-04-27,13:23:00,13,0,1,24,21,27,2,Sugarcane,200.2,B,4,176.0,180.0,16.6,16:23:00,16:39:36,196.6
FARM101488,Farmer_1488,PC002,Mandya North,2026-04-24,08:19:00,8,4,0,20,19,23,2,Groundnut,242.3,B,3,145.6,133.8,12.9,10:32:48,10:45:42,146.7
FARM101454,Farmer_1454,PC002,Mandya North,2026-04-23,14:21:00,14,3,0,43,41,46,3,Rice,189.6,B,8,137.0,147.9,10.0,16:48:54,16:58:54,157.9
FARM100384,Farmer_0384,PC001,Mysuru Central,2026-04-07,16:48:00,16,1,0,41,38,39,2,Maize,482.1,A,6,173.3,180.0,15.8,19:48:00,20:03:48,195.8
FARM101396,Farmer_1396,PC001,Mysuru Central,2026-03-14,12:35:00,12,5,1,23,20,25,2,Groundnut,287.7,A,9,110.7,119.3,11.5,14:34:18,14:45:48,130.8
FARM101055,Farmer_1055,PC004,Tumakuru Main,2026-04-01,13:51:00,13,2,1,14,11,17,3,Maize,181.0,B,3,45.1,49.5,11.8,14:40:30,14:52:18,61.3
FARM100756,Farmer_0756,PC004,Tumakuru Main,2026-04-01,12:45:00,12,2,1,19,15,18,2,Groundnut,301.3,B,1,116.6,112.2,13.4,14:37:12,14:50:36,125.6
FARM100325,Farmer_0325,PC002,Mandya North,2026-01-31,15:52:00,15,5,0,38,35,39,2,Cotton,314.6,A,8,172.0,180.0,11.1,18:52:00,19:03:06,191.1
FARM101624,Farmer_1624,PC005,Bengaluru Rural,2026-03-28,16:51:00,16,5,0,10,8,11,6,Maize,140.2,C,4,18.5,18.3,13.6,17:09:18,17:22:54,31.9
FARM100788,Farmer_0788,PC002,Mandya North,2026-02-07,15:54:00,15,5,0,18,17,21,2,Tur Dal,512.1,C,5,137.5,134.3,14.2,18:08:18,18:22:30,148.5
FARM100369,Farmer_0369,PC003,Hassan Market,2026-03-05,08:50:00,8,3,0,36,31,35,3,Groundnut,133.5,A,6,112.3,108.3,11.3,10:38:18,10:49:36,119.6
FARM101820,Farmer_1820,PC001,Mysuru Central,2026-04-10,13:23:00,13,4,1,42,40,46,3,Rice,96.5,B,9,92.3,92.2,6.8,14:55:12,15:02:00,99.0
FARM100070,Farmer_0070,PC004,Tumakuru Main,2026-04-10,10:07:00,10,4,1,42,40,41,2,Cotton,281.3,C,2,162.6,180.0,14.5,13:07:00,13:21:30,194.5
FARM100858,Farmer_0858,PC003,Hassan Market,2026-02-12,08:47:00,8,3,0,44,40,41,4,Wheat,343.7,B,6,115.2,108.8,11.7,10:35:48,10:47:30,120.5
FARM101484,Farmer_1484,PC004,Tumakuru Main,2026-03-07,14:29:00,14,5,0,38,33,34,3,Maize,277.6,C,4,146.1,139.8,12.3,16:48:48,17:01:06,152.1
FARM101556,Farmer_1556,PC001,Mysuru Central,2026-01-28,14:14:00,14,2,0,44,39,43,2,Ragi,241.3,C,1,194.0,180.0,14.5,17:14:00,17:28:30,194.5
FARM101692,Farmer_1692,PC002,Mandya North,2026-04-18,09:36:00,9,5,0,15,12,19,2,Maize,112.9,B,2,58.1,60.5,9.2,10:36:30,10:45:42,69.7
FARM101475,Farmer_1475,PC003,Hassan Market,2026-02-05,11:17:00,11,3,1,17,12,17,4,Sugarcane,176.9,A,7,41.8,45.8,16.2,12:02:48,12:19:00,62.0
FARM101799,Farmer_1799,PC005,Bengaluru Rural,2026-02-02,15:47:00,15,0,0,47,45,50,6,Cotton,368.4,B,3,127.8,120.7,18.2,17:47:42,18:05:54,138.9
FARM100479,Farmer_0479,PC005,Bengaluru Rural,2026-03-04,15:20:00,15,2,0,23,19,20,6,Ragi,306.0,C,3,32.5,31.9,10.9,15:51:54,16:02:48,42.8
FARM100282,Farmer_0282,PC005,Bengaluru Rural,2026-01-15,16:30:00,16,3,0,26,25,26,5,Maize,349.0,C,1,56.3,61.5,13.6,17:31:30,17:45:06,75.1
FARM101648,Farmer_1648,PC005,Bengaluru Rural,2026-04-03,09:18:00,9,4,0,2,0,2,5,Ragi,418.7,C,1,3.0,2.8,16.8,09:20:48,09:37:36,19.6
FARM101557,Farmer_1557,PC003,Hassan Market,2026-04-10,11:11:00,11,4,1,46,43,48,4,Maize,313.4,C,6,142.3,150.4,14.6,13:41:24,13:56:00,165.0
FARM101730,Farmer_1730,PC005,Bengaluru Rural,2026-01-29,10:20:00,10,3,1,5,0,4,5,Groundnut,159.4,A,4,9.0,8.6,10.6,10:28:36,10:39:12,19.2
FARM100211,Farmer_0211,PC001,Mysuru Central,2026-03-25,15:37:00,15,2,0,15,12,14,3,Rice,366.9,C,9,43.1,43.6,12.1,16:20:36,16:32:42,55.7
FARM100298,Farmer_0298,PC005,Bengaluru Rural,2026-03-31,08:09:00,8,1,0,30,25,28,6,Maize,298.2,B,1,41.0,38.1,10.0,08:47:06,08:57:06,48.1
FARM101885,Farmer_1885,PC001,Mysuru Central,2026-04-29,09:01:00,9,2,0,19,18,20,3,Maize,243.1,A,10,66.3,72.9,11.3,10:13:54,10:25:12,84.2
FARM101834,Farmer_1834,PC001,Mysuru Central,2026-02-15,09:52:00,9,6,0,14,10,17,4,Maize,209.9,B,5,27.0,29.6,11.6,10:21:36,10:33:12,41.2
FARM100652,Farmer_0652,PC002,Mandya North,2026-01-31,11:43:00,11,5,1,46,44,51,2,Cotton,46.4,A,2,181.8,180.0,11.5,14:43:00,14:54:30,191.5
FARM101234,Farmer_1234,PC004,Tumakuru Main,2026-04-30,13:40:00,13,3,1,22,19,22,4,Ragi,432.7,C,8,65.6,67.3,13.6,14:47:18,15:00:54,80.9
FARM101503,Farmer_1503,PC005,Bengaluru Rural,2026-01-04,09:34:00,9,6,0,31,26,33,6,Sugarcane,410.5,A,9,74.9,78.2,19.1,10:52:12,11:11:18,97.3
FARM101932,Farmer_1932,PC004,Tumakuru Main,2026-03-30,12:01:00,12,0,1,42,40,47,3,Wheat,188.1,B,7,131.9,142.8,9.6,14:23:48,14:33:24,152.4
FARM100917,Farmer_0917,PC002,Mandya North,2026-03-29,11:45:00,11,6,1,16,15,20,3,Maize,393.1,C,7,67.4,71.8,11.8,12:56:48,13:08:36,83.6
FARM100994,Farmer_0994,PC001,Mysuru Central,2026-04-12,11:58:00,11,6,1,5,0,7,3,Tur Dal,246.7,B,4,1.0,1.0,11.6,11:59:00,12:10:36,12.6
FARM100430,Farmer_0430,PC001,Mysuru Central,2026-01-03,10:34:00,10,5,1,2,1,5,3,Cotton,282.7,C,1,13.4,14.2,15.9,10:48:12,11:04:06,30.1
FARM101371,Farmer_1371,PC001,Mysuru Central,2026-01-12,11:28:00,11,0,1,25,23,29,2,Sugarcane,361.2,B,4,185.3,171.6,14.6,14:19:36,14:34:12,186.2
FARM100240,Farmer_0240,PC005,Bengaluru Rural,2026-03-12,10:01:00,10,3,1,5,3,10,5,Tur Dal,303.2,A,7,12.6,13.9,11.9,10:14:54,10:26:48,25.8
FARM100880,Farmer_0880,PC003,Hassan Market,2026-04-10,15:57:00,15,4,0,10,8,13,4,Wheat,191.0,B,1,8.7,9.2,8.5,16:06:12,16:14:42,17.7
FARM100621,Farmer_0621,PC001,Mysuru Central,2026-01-01,11:06:00,11,3,1,42,40,41,4,Tur Dal,200.9,C,5,109.9,115.4,11.4,13:01:24,13:12:48,126.8
FARM100257,Farmer_0257,PC001,Mysuru Central,2026-04-06,13:58:00,13,0,1,44,41,43,2,Sugarcane,288.6,B,10,185.4,180.0,16.6,16:58:00,17:14:36,196.6
FARM100612,Farmer_0612,PC004,Tumakuru Main,2026-03-15,10:23:00,10,6,1,26,24,30,3,Groundnut,166.3,C,3,111.1,104.9,12.0,12:07:54,12:19:54,116.9
FARM100545,Farmer_0545,PC002,Mandya North,2026-04-07,16:38:00,16,1,0,38,35,36,2,Ragi,421.6,C,10,192.6,180.0,12.8,19:38:00,19:50:48,192.8
FARM100772,Farmer_0772,PC004,Tumakuru Main,2026-01-09,11:40:00,11,4,1,21,20,21,3,Ragi,436.2,C,10,109.0,99.8,13.5,13:19:48,13:33:18,113.3
FARM101420,Farmer_1420,PC001,Mysuru Central,2026-01-12,08:17:00,8,0,0,39,34,38,4,Wheat,377.7,C,10,109.4,112.1,13.2,10:09:06,10:22:18,125.3
FARM101042,Farmer_1042,PC002,Mandya North,2026-03-11,14:22:00,14,2,0,28,23,26,2,Wheat,396.1,A,5,126.0,125.8,10.0,16:27:48,16:37:48,135.8
FARM101790,Farmer_1790,PC005,Bengaluru Rural,2026-03-10,10:52:00,10,1,1,22,21,25,4,Wheat,330.6,A,6,60.4,57.0,10.7,11:49:00,11:59:42,67.7
FARM100760,Farmer_0760,PC003,Hassan Market,2026-03-10,16:08:00,16,1,0,13,11,17,4,Sugarcane,464.1,A,7,42.9,44.4,17.7,16:52:24,17:10:06,62.1
FARM100383,Farmer_0383,PC004,Tumakuru Main,2026-03-03,10:18:00,10,1,1,32,29,32,2,Cotton,612.6,B,4,173.1,180.0,18.6,13:18:00,13:36:36,198.6
FARM101104,Farmer_1104,PC004,Tumakuru Main,2026-03-09,09:06:00,9,0,0,8,4,5,3,Maize,260.5,B,6,17.1,17.7,11.6,09:23:42,09:35:18,29.3
FARM100974,Farmer_0974,PC003,Hassan Market,2026-02-26,12:03:00,12,3,1,17,13,16,4,Rice,303.9,C,6,42.4,38.8,11.9,12:41:48,12:53:42,50.7
FARM100353,Farmer_0353,PC005,Bengaluru Rural,2026-01-22,14:23:00,14,3,0,19,18,25,5,Cotton,365.3,B,1,45.8,47.0,15.6,15:10:00,15:25:36,62.6
FARM101606,Farmer_1606,PC001,Mysuru Central,2026-03-16,08:09:00,8,0,0,1,0,3,3,Maize,183.5,C,5,1.2,1.3,9.1,08:10:18,08:19:24,10.4
FARM101826,Farmer_1826,PC001,Mysuru Central,2026-03-14,09:24:00,9,5,0,48,44,47,2,Ragi,210.9,B,10,184.0,180.0,10.2,12:24:00,12:34:12,190.2
FARM101037,Farmer_1037,PC004,Tumakuru Main,2026-01-31,12:51:00,12,5,1,31,30,35,3,Wheat,334.9,A,6,95.8,104.7,9.0,14:35:42,14:44:42,113.7
FARM101108,Farmer_1108,PC004,Tumakuru Main,2026-02-25,08:52:00,8,2,0,16,12,13,4,Wheat,104.3,C,10,22.0,21.4,6.9,09:13:24,09:20:18,28.3
FARM100495,Farmer_0495,PC001,Mysuru Central,2026-01-12,16:06:00,16,0,0,38,33,36,3,Maize,366.1,A,7,118.1,123.1,10.7,18:09:06,18:19:48,133.8
FARM100394,Farmer_0394,PC002,Mandya North,2026-03-26,16:12:00,16,3,0,12,11,17,1,Sugarcane,291.1,A,1,189.7,180.0,16.9,19:12:00,19:28:54,196.9
FARM101547,Farmer_1547,PC001,Mysuru Central,2026-03-17,14:39:00,14,1,0,21,17,23,3,Cotton,276.8,C,2,89.9,91.8,16.0,16:10:48,16:26:48,107.8
FARM100465,Farmer_0465,PC003,Hassan Market,2026-01-18,12:59:00,12,6,1,41,37,39,3,Cotton,315.7,B,6,181.1,174.2,14.4,15:53:12,16:07:36,188.6
FARM100887,Farmer_0887,PC003,Hassan Market,2026-03-24,09:18:00,9,1,0,9,4,10,5,Wheat,279.0,B,8,3.6,3.7,11.5,09:21:42,09:33:12,15.2
FARM101194,Farmer_1194,PC002,Mandya North,2026-02-14,16:25:00,16,5,0,9,4,6,2,Sugarcane,414.7,B,7,43.5,41.0,17.3,17:06:00,17:23:18,58.3
FARM100367,Farmer_0367,PC004,Tumakuru Main,2026-04-28,14:01:00,14,1,0,22,21,26,3,Ragi,169.0,C,6,84.7,79.5,10.7,15:20:30,15:31:12,90.2
FARM101894,Farmer_1894,PC002,Mandya North,2026-03-21,16:10:00,16,5,0,29,24,30,2,Rice,215.0,A,3,122.6,129.2,9.9,18:19:12,18:29:06,139.1
FARM101874,Farmer_1874,PC003,Hassan Market,2026-02-01,15:16:00,15,6,0,26,22,26,4,Sugarcane,40.0,A,3,61.3,61.1,12.1,16:17:06,16:29:12,73.2
FARM100745,Farmer_0745,PC005,Bengaluru Rural,2026-01-20,10:09:00,10,1,1,9,8,15,5,Sugarcane,97.0,B,7,24.2,22.3,13.6,10:31:18,10:44:54,35.9
FARM100530,Farmer_0530,PC001,Mysuru Central,2026-01-16,14:10:00,14,4,0,17,15,20,4,Rice,444.8,B,3,54.7,52.3,13.5,15:02:18,15:15:48,65.8
FARM100803,Farmer_0803,PC003,Hassan Market,2026-04-24,10:59:00,10,4,1,21,20,27,4,Rice,40.0,A,2,49.7,46.3,9.6,11:45:18,11:54:54,55.9
FARM101224,Farmer_1224,PC004,Tumakuru Main,2026-02-20,14:58:00,14,4,0,45,43,47,2,Ragi,40.0,B,8,157.1,148.8,6.6,17:26:48,17:33:24,155.4
FARM101979,Farmer_1979,PC003,Hassan Market,2026-04-07,08:26:00,8,1,0,23,21,24,4,Tur Dal,332.0,B,7,64.5,61.6,12.6,09:27:36,09:40:12,74.2
FARM101906,Farmer_1906,PC004,Tumakuru Main,2026-03-18,10:37:00,10,2,1,21,17,20,3,Wheat,489.6,A,5,74.8,81.0,11.9,11:58:00,12:09:54,92.9
FARM101700,Farmer_1700,PC005,Bengaluru Rural,2026-04-14,14:36:00,14,1,0,9,7,9,5,Cotton,412.9,A,7,15.0,15.3,15.1,14:51:18,15:06:24,30.4
FARM101545,Farmer_1545,PC002,Mandya North,2026-01-01,14:22:00,14,3,0,16,11,12,2,Ragi,347.1,C,7,70.2,75.1,12.9,15:37:06,15:50:00,88.0
FARM101314,Farmer_1314,PC004,Tumakuru Main,2026-02-17,15:30:00,15,1,0,19,14,18,3,Groundnut,282.3,A,3,81.2,77.0,16.1,16:47:00,17:03:06,93.1
FARM100307,Farmer_0307,PC002,Mandya North,2026-02-06,11:53:00,11,4,1,35,33,35,2,Cotton,124.6,C,2,193.1,180.0,12.2,14:53:00,15:05:12,192.2
FARM101667,Farmer_1667,PC003,Hassan Market,2026-01-20,15:16:00,15,1,0,38,33,38,4,Wheat,300.7,B,3,64.2,66.7,9.0,16:22:42,16:31:42,75.7
FARM100863,Farmer_0863,PC005,Bengaluru Rural,2026-01-14,12:42:00,12,2,1,18,16,22,6,Rice,279.6,A,5,35.8,33.6,10.1,13:15:36,13:25:42,43.7
FARM101567,Farmer_1567,PC004,Tumakuru Main,2026-02-27,11:19:00,11,4,1,20,19,21,3,Tur Dal,324.8,B,4,86.3,80.4,12.0,12:39:24,12:51:24,92.4
